"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CG4860",9.44049924052859e-10,-0.56704899034651,0.016,0.029,1.17430370052935e-05
"CG7091",9.46277239139639e-10,-0.908178375354089,0.008,0.017,1.1770742577658e-05
"Rab14",9.66155787564378e-10,-0.269955197988935,0.079,0.104,1.20180118415133e-05
"hrg",1.03088844778172e-09,-0.325053712313523,0.094,0.12,1.28232214019568e-05
"Actn",1.04376263232203e-09,-0.251928001083687,0.301,0.339,1.29833633834538e-05
"Gbp1",1.04980978335615e-09,-0.506973425826532,0.024,0.038,1.30585838951672e-05
"Nazo",1.17005537603386e-09,1.30013457364515,0.021,0.01,1.45543188224852e-05
"Ugt302C1",1.17732564835801e-09,0.74034903094907,0.021,0.01,1.46447537399253e-05
"Marf1",1.19704111617137e-09,-0.369198771776598,0.055,0.076,1.48899944440557e-05
"Tudor-SN",1.21155024290648e-09,-0.343282268411715,0.124,0.153,1.50704734715137e-05
"raskol",1.25889906318404e-09,-0.331577034209143,0.27,0.3,1.56594454469463e-05
"Tsp74F",1.35669408897039e-09,-0.806055195227626,0.019,0.032,1.68759177727027e-05
"CG10910",1.42498024016606e-09,0.878614772771429,0.031,0.018,1.77253292074256e-05
"spoon",1.451000540435e-09,0.346487572091183,0.267,0.237,1.8048995722471e-05
"Ubx",1.46688719643834e-09,-0.36608318194142,0.141,0.171,1.82466098364966e-05
"Sik3",1.48110178524596e-09,-0.156871309833382,0.185,0.22,1.84234251066744e-05
"Fit1",1.4879484176626e-09,-0.413174582494769,0.108,0.135,1.85085903673051e-05
"Dyrk2",1.51852187020216e-09,0.369957439188416,0.17,0.141,1.88888935434446e-05
"siz",1.52142727052867e-09,0.313163526368668,0.311,0.282,1.89250338181061e-05
"Oxp",1.53583071149804e-09,-1.32972381966957,0.005,0.013,1.91041982203242e-05
"BuGZ",1.59752363609702e-09,0.23156828325326,0.378,0.342,1.98715965094108e-05
"swa",1.62016705097468e-09,-0.534302673536803,0.022,0.036,2.01532579470741e-05
"SmD1",1.6760072106313e-09,-0.706448397771547,0.026,0.04,2.08478536930427e-05
"ZAP3",1.67825974935025e-09,0.379564359134488,0.212,0.182,2.08758730221677e-05
"CG5945",1.75404662299523e-09,-0.771712577311544,0.014,0.025,2.18185859434377e-05
"Npc2g",1.78124827312127e-09,-0.281193717082958,0.092,0.118,2.21569472693555e-05
"CG11961",1.82536096062304e-09,1.48000036860801,0.019,0.009,2.270566498919e-05
"poe",1.9114917381241e-09,-0.398547531468489,0.149,0.179,2.37770457305257e-05
"CG31759",1.92078335807666e-09,0.55348188115116,0.124,0.099,2.38926241911156e-05
"CG9008",1.97390459799657e-09,-0.551414490302019,0.029,0.045,2.45533992944794e-05
"ND-AGGG",1.97541162539049e-09,-0.444534651795463,0.064,0.086,2.45721452082323e-05
"Hsepi",2.03901103781468e-09,-0.495978267509963,0.021,0.035,2.53632582993768e-05
"fry",2.12352041745097e-09,-0.161134450356858,0.273,0.313,2.64144704726726e-05
"Ets98B",2.19486674840183e-09,-0.272465483608851,0.092,0.117,2.73019474833704e-05
"Alh",2.21507230158523e-09,0.357421066451648,0.203,0.172,2.75532843594187e-05
"Lsp1beta",2.23355640514622e-09,-1.62068086063327,0.004,0.011,2.77832081236138e-05
"CG18745",2.24532768147987e-09,0.63243033713327,0.017,0.008,2.79296310299281e-05
"tral",2.25472647803107e-09,-0.168814720350664,0.392,0.433,2.80465426602285e-05
"uzip",2.33691115511334e-09,-0.485165311885952,0.057,0.078,2.90688378584548e-05
"RhoGAP1A",2.45369157935502e-09,0.470595211852459,0.163,0.136,3.05214695555972e-05
"stai",2.61888152303922e-09,-0.44389525637638,0.141,0.17,3.25762672650849e-05
"RIC-3",2.63021289867943e-09,-0.373250802076154,0.09,0.115,3.27172182466735e-05
"CG5381",2.69602923465497e-09,-0.188173509500212,0.169,0.203,3.35359076498732e-05
"E(spl)m3-HLH",2.75428195029857e-09,0.966917746391586,0.018,0.008,3.4260513179764e-05
"Ptpmeg",2.84426555916306e-09,-0.367301166328647,0.118,0.145,3.53798192904294e-05
"CG11076",2.90083795316132e-09,-0.386588898667818,0.061,0.083,3.60835232993737e-05
"disco",2.98544416012937e-09,-0.992544672806337,0.046,0.064,3.71359399078492e-05
"CG1773",3.0916600628484e-09,-0.73793110168526,0.028,0.043,3.84571595217712e-05
"asRNA:CR45882",3.18917578544728e-09,-1.27569995483237,0.004,0.011,3.96701575951787e-05
"SrpRbeta",3.23137153320459e-09,-0.26554175269239,0.036,0.053,4.01950305015319e-05
"CG17321",3.2835627922634e-09,-0.495729942608801,0.029,0.045,4.08442375729645e-05
"S6k",3.2970993820826e-09,0.353461093206187,0.225,0.196,4.10126192137255e-05
"CG13102",3.30866895650443e-09,-0.887299747455853,0.012,0.022,4.11565331499586e-05
"sowah",3.43616750546015e-09,0.248354939103471,0.217,0.185,4.27424876004188e-05
"elm",3.46660442466767e-09,-0.389823389864246,0.054,0.074,4.31210924384411e-05
"ci",3.53341061468036e-09,-0.15942901910954,0.133,0.164,4.3952094636009e-05
"Kul",3.77546299466823e-09,-0.539903078701824,0.017,0.029,4.69629841906782e-05
"snu",3.78815939063561e-09,-0.651765898130044,0.019,0.032,4.71209146601163e-05
"Hk",4.07318943107262e-09,0.263129488421566,0.336,0.304,5.06664033331123e-05
"Paics",4.09684951259235e-09,-0.540097717060744,0.136,0.162,5.09607110871362e-05
"Aldh",4.10693057807037e-09,0.466548844986685,0.153,0.126,5.10861094606173e-05
"Doa",4.11220975223632e-09,0.223579508244246,0.691,0.689,5.11517771080676e-05
"Scp1",4.13234803826933e-09,-0.174250341456104,0.188,0.223,5.14022772480322e-05
"CG4570",4.13591639913904e-09,-0.712342342565517,0.018,0.03,5.14466640888906e-05
"CG4269",4.14262267661819e-09,-1.05119207705266,0.007,0.015,5.15300834744537e-05
"CG31343",4.16352048593828e-09,-0.537933922437862,0.031,0.047,5.17900313245862e-05
"PIP4K",4.30113889564548e-09,-0.197623018600989,0.314,0.351,5.35018667229341e-05
"wgn",4.3829080307332e-09,0.698420701931112,0.076,0.056,5.45189929942903e-05
"fzo",4.48572694924055e-09,0.696296547454071,0.045,0.029,5.57979575216032e-05
"CG9928",4.49375930195971e-09,-0.481006404853775,0.087,0.111,5.58978719570768e-05
"CG8128",4.54040791977501e-09,-0.304029332762876,0.074,0.096,5.64781341140813e-05
"otu",4.57466620471361e-09,-0.647903839099128,0.021,0.034,5.69042729204326e-05
"CG8303",4.6705178501323e-09,-0.843037051950505,0.01,0.019,5.80965715377957e-05
"Pkg21D",4.67611230143718e-09,0.986748992895863,0.01,0.003,5.8166160917577e-05
"thetaTry",4.7161876981166e-09,-0.457411826992844,0.043,0.061,5.86646587768724e-05
"CG9527",4.74441016199553e-09,-0.275721099388224,0.037,0.054,5.90157180050624e-05
"Sema2a",4.8652265662846e-09,0.358241932155063,0.118,0.093,6.05185532580141e-05
"CG5112",4.87881655522003e-09,-0.868662734747087,0.014,0.025,6.06875991303819e-05
"CG18190",4.99401586535776e-09,-0.779409291654512,0.019,0.031,6.21205633491852e-05
"ScpX",5.08079223511487e-09,-0.296438976237093,0.026,0.04,6.31999746125939e-05
"CG5973",5.11999944077277e-09,-0.530263234083831,0.032,0.048,6.36876730437725e-05
"clu",5.12299139173808e-09,-0.400641534424496,0.095,0.119,6.372488992183e-05
"Ran",5.40917789244234e-09,-0.225299980421731,0.232,0.267,6.72847638040902e-05
"CG3301",5.50712182012341e-09,-0.549230510602583,0.021,0.034,6.85030883205151e-05
"CG7470",5.6453915532961e-09,0.187228412475947,0.121,0.153,7.02230255314502e-05
"CG7542",5.76933930502816e-09,-0.422125408559131,0.038,0.055,7.17648116152452e-05
"Peritrophin-15a",5.78523618137094e-09,0.671074665032577,0.052,0.035,7.19625528600731e-05
"CG1998",6.0171682784905e-09,-0.557379291428241,0.023,0.036,7.48475562161433e-05
"CG9436",6.46048496461504e-09,0.644822151969104,0.038,0.024,8.03619724748465e-05
"luna",6.57542036849346e-09,0.250000766508719,0.332,0.301,8.17916539636901e-05
"CG10031",6.59348782741217e-09,-0.785975818848481,0.02,0.032,8.201639508518e-05
"comm2",6.63631242326653e-09,-0.58444697760859,0.033,0.049,8.25490902330124e-05
"CG4847",6.72656109879992e-09,-0.460891803487753,0.032,0.047,8.36716935079722e-05
"mol",6.79340166420373e-09,-0.630172785036951,0.018,0.031,8.45031233010302e-05
"Drsl4",6.84081313547823e-09,-0.645936516487387,0.014,0.024,8.50928745922137e-05
"CG5446",6.90799050777095e-09,-0.390635325065688,0.036,0.053,8.59284939261629e-05
"dome",6.95391399360745e-09,0.614645614253268,0.08,0.06,8.64997361664831e-05
"jumu",7.07329087140165e-09,0.580868126268753,0.069,0.05,8.79846651493652e-05
"Dif",7.10347757972602e-09,-0.545226075841149,0.108,0.132,8.8360157614212e-05
"Ubi-p63E",7.16655885355401e-09,-0.141419725834218,0.257,0.294,8.91448255793584e-05
"Fer2LCH",7.2643265210608e-09,-0.257291127509585,0.321,0.351,9.03609575954753e-05
"La",7.67029143511933e-09,-0.466847341488435,0.033,0.049,9.54107551614494e-05
"lncRNA:CR44295",7.68903391725168e-09,1.33969285745841,0.017,0.008,9.56438928966937e-05
"Zip99C",7.72764679883612e-09,-0.506694646660818,0.06,0.08,9.61241985307225e-05
"bi",7.79462047983163e-09,0.129928138711983,0.07,0.051,9.69572841486256e-05
"faf",8.02010035345996e-09,0.32082338384029,0.204,0.174,9.97620282966884e-05
"CG14688",8.11912178776472e-09,-0.240643398542322,0.109,0.136,0.000100993755918005
"Nplp2",8.13725967865513e-09,-0.200815416598334,0.287,0.329,0.000101219373142791
"lncRNA:CR44034",8.20661733383528e-09,1.07439416010849,0.01,0.003,0.000102082113015577
"lov",8.61006729954535e-09,0.859250500586615,0.022,0.012,0.000107100627139045
"lncRNA:CR45179",8.6118721136456e-09,0.906448847467423,0.053,0.037,0.000107123077221638
"scyl",8.64033387633695e-09,-0.278773494310469,0.473,0.5,0.000107477113087755
"CG4829",8.72081191704988e-09,-0.520970371749643,0.017,0.029,0.000108478179436183
"LanB1",8.77051295363124e-09,0.381325998745245,0.059,0.041,0.000109096410630219
"Ekar",8.83229596174962e-09,0.91177090187799,0.022,0.011,0.000109864929468204
"CG4004",8.92154383297683e-09,-0.304924622906277,0.016,0.028,0.000110975083738399
"trx",8.92930523937855e-09,-0.161797962917459,0.343,0.38,0.00011107162787263
"CG8661",8.98604552711874e-09,0.847691005575652,0.034,0.021,0.00011177742031183
"TRAM",9.03791693506297e-09,-0.384065720463931,0.036,0.053,0.000112422648755248
"CG44102",9.15520623044831e-09,-0.787865677665586,0.006,0.014,0.000113881610300546
"Cpr73D",9.74116086083478e-09,0.665856057083652,0.049,0.033,0.000121170299947924
"GlyS",9.74154572235152e-09,-0.212843205269037,0.129,0.158,0.000121175087240331
"CG43051",9.81182598623029e-09,0.688888445539087,0.063,0.045,0.000122049303442719
"borr",1.03300255659843e-08,-0.734836364341389,0.013,0.023,0.000128495188015279
"brwl",1.05670397290713e-08,0.666097725983635,0.06,0.042,0.000131443407189917
"CycA",1.06634604661017e-08,-0.393267594604946,0.069,0.091,0.000132642784737839
"CG15747",1.07194924180991e-08,0.801632059959258,0.032,0.019,0.000133339766188735
"lncRNA:CR44357",1.07244238476233e-08,0.606002773476095,0.047,0.032,0.000133401108240586
"Esyt2",1.11942160895268e-08,0.221817980749998,0.097,0.074,0.000139244853937624
"Pgi",1.18511002275453e-08,-0.213729019063431,0.15,0.18,0.000147415835730436
"fs(1)M3",1.18722768785565e-08,-0.704460574457973,0.018,0.03,0.000147679252092364
"EMC8-9",1.21777870454108e-08,-0.527374349112866,0.011,0.021,0.000151479493057866
"CG34354",1.21985338761107e-08,-0.226323828611555,0.108,0.134,0.000151737562884941
"CG14516",1.22723936711534e-08,-0.509641538683048,0.025,0.039,0.000152656304875478
"bs",1.23266817748755e-08,0.512420506484703,0.062,0.044,0.000153331594597677
"Gpdh3",1.23481597501939e-08,0.848439791311959,0.02,0.01,0.000153598759132662
"Cdep",1.2467563655568e-08,0.456285658773776,0.198,0.171,0.00015508402431161
"GstD3",1.25939651089961e-08,-1.18490942646364,0.016,0.028,0.000156656331990802
"Rip11",1.30209201622261e-08,0.342684530133999,0.269,0.241,0.00016196722589793
"CG6621",1.31784014016021e-08,0.490050836454189,0.078,0.058,0.000163926135034529
"Fhos",1.34443278183202e-08,0.102087459707367,0.325,0.289,0.000167233993732085
"dsx-c73A",1.37314313722075e-08,0.526549472194364,0.042,0.028,0.000170805274838889
"CG12926",1.41750762763647e-08,1.44230809284534,0.015,0.007,0.000176323773801701
"Arpc2",1.42736782733931e-08,-0.318736710158983,0.097,0.121,0.000177550284042737
"CG11236",1.44259384371895e-08,-1.18119843677991,0.014,0.025,0.0001794442482202
"Atox1",1.46116772821367e-08,-0.397140787374471,0.032,0.048,0.000181754653712498
"Eip63E",1.47883008122122e-08,-0.123241963103768,0.494,0.527,0.000183951673803107
"CG4598",1.49110224134755e-08,-0.588023084870716,0.021,0.034,0.000185478207801222
"CG17272",1.50929443277122e-08,0.938784100621229,0.051,0.035,0.000187741134492412
"Mpcp2",1.51590090503674e-08,-0.271962589568581,0.176,0.206,0.00018856291357752
"CG3625",1.5284802287181e-08,-0.4252141588349,0.035,0.051,0.000190127655650244
"Epg5",1.63830595719583e-08,0.598363210510565,0.066,0.048,0.000203788878015589
"Mfe2",1.66234840704195e-08,-0.280978892891684,0.032,0.047,0.000206779518351948
"CG7991",1.70323339892519e-08,1.33851004667662,0.013,0.005,0.000211865202492305
"ND-13B",1.7184689397701e-08,-0.359349359960909,0.097,0.122,0.000213760351418003
"Sply",1.7319144285295e-08,-0.449008075835885,0.029,0.043,0.000215432835764785
"CheB42c",1.73755679202917e-08,-0.520720603935525,0.012,0.022,0.000216134689360509
"Nedd8",1.74164901059194e-08,-0.201440381065141,0.048,0.067,0.000216643720427531
"klar",1.74842105054084e-08,0.291048861440791,0.557,0.552,0.000217486094476775
"elB",1.7713936564459e-08,0.348385475248814,0.203,0.175,0.000220343656925305
"CG30026",1.80673607738156e-08,-0.770319713975683,0.017,0.028,0.000224739900665492
"Mekk1",1.92564516164741e-08,0.377661828483545,0.082,0.062,0.000239531001657322
"l(2)k09913",1.93343101134208e-08,-0.270324659146306,0.094,0.119,0.000240499483500842
"asRNA:CR45046",2.07166442539979e-08,-0.289735136111417,0.029,0.043,0.000257694337875479
"CG5885",2.07435286184632e-08,-0.327592634760879,0.05,0.068,0.000258028752485064
"S",2.11310138393919e-08,0.486417362511632,0.233,0.208,0.000262848681148196
"baf",2.11948438271924e-08,-0.289993376833344,0.053,0.072,0.000263642662366446
"fs(1)N",2.14816266743532e-08,-0.678485368887408,0.017,0.028,0.00026720995420228
