"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Jon99Cii",0,-2.6275323786686,0.173,0.667,0
"LysD",0,-2.69497080703663,0.124,0.554,0
"CG12374",0,-2.91196577741744,0.068,0.408,0
"Cp36",0,-1.92204623845494,0.164,0.503,0
"Cp19",0,-1.68754657906869,0.207,0.513,0
"lncRNA:alphagamma-element:CR32865",0,-2.88122125483782,0.225,0.523,0
"Cp15",0,-1.1383150028133,0.568,0.849,0
"Hsp26",0,-1.45248477147896,0.287,0.561,0
"Hsp70Bc",0,-3.17037022482399,0.084,0.352,0
"Hr38",0,-1.82701960200407,0.144,0.385,0
"stv",0,-1.58965593220971,0.459,0.693,0
"CG4291",0,5.50940593391745,0.241,0.01,0
"RpL41",0,-0.96296775750143,0.508,0.737,0
"CG15309",0,-2.38669762945514,0.066,0.285,0
"Cp38",0,-1.81492434840077,0.107,0.323,0
"Jon99Fi",0,-2.23661495502297,0.062,0.262,0
"mwh",0,-2.7179934975715,0.044,0.238,0
"Jon25Biii",0,-4.8807701031009,0.007,0.193,0
"CG11911",0,-3.43514855016686,0.02,0.2,0
"CG10077",0,1.04979996905701,0.727,0.553,0
"Jon99Fii",0,-3.74463918104158,0.012,0.156,0
"CG5830",2.527605555968e-316,1.59013601903099,0.51,0.284,3.14408855106859e-312
"Vm26Aa",2.16695480490614e-309,-1.0739545669965,0.386,0.629,2.69547508182274e-305
"RpLP1",8.81626968269841e-279,-1.07759743524817,0.348,0.572,1.09665578583086e-274
"Yp2",4.22000617567797e-277,-0.945067572476666,0.475,0.688,5.24926568192582e-273
"Hsp70Ab",1.484893650684e-273,-1.8732450408598,0.14,0.329,1.84705921208583e-269
"DnaJ-1",2.06243302360056e-255,-1.32346755765534,0.245,0.454,2.56546043805674e-251
"LysB",2.41994695422359e-238,-2.49323769411818,0.026,0.148,3.01017201635873e-234
"Hsp70Bb",2.34223807525871e-222,-2.48946269991207,0.058,0.195,2.91350994181431e-218
"Yp1",3.4112600866441e-221,-0.785884778820305,0.614,0.79,4.2432664217766e-217
"REPTOR",4.71805469337753e-215,-0.904296779199483,0.472,0.654,5.86878823309231e-211
"Bace",2.98029449412664e-207,-1.54484362405092,0.082,0.232,3.70718832124412e-203
"Jon65Aiv",3.25849357682942e-205,-0.932031723497521,0.318,0.515,4.05324016021811e-201
"CG10472",4.12608091472743e-199,-1.54232453393569,0.082,0.227,5.13243204982946e-195
"CG5399",4.10508058044127e-197,1.66083303502595,0.25,0.09,5.10630973401089e-193
"Yp3",2.55509460640064e-189,-0.572084001411178,0.606,0.77,3.17828218090176e-185
"CG43134",9.05042348078175e-189,-1.30448171774162,0.133,0.294,1.12578217677444e-184
"Octalpha2R",2.55624401117354e-188,-1.28037420126193,0.166,0.333,3.17971192549877e-184
"Hsp27",1.91302738448334e-187,-1.26114679308142,0.241,0.416,2.37961476355883e-183
"RpS2",2.04729757046722e-184,-0.857235623639271,0.397,0.577,2.54663344790418e-180
"Nmdmc",1.07607099063947e-183,-3.68953422665023,0.027,0.127,1.33852470525644e-179
"betaTry",1.19603839558515e-181,1.34762536040071,0.31,0.142,1.48775216026837e-177
"yip7",1.10099512006373e-178,-0.90261531280392,0.289,0.475,1.36952782984728e-174
"Cp16",3.41295456252559e-177,-1.32461834392664,0.112,0.261,4.24537418032558e-173
"Cpr51A",2.51845400471621e-171,5.16282213182173,0.101,0.007,3.1327049364665e-167
"sr",6.97875365919274e-170,-1.71704974435363,0.076,0.205,8.68087167666985e-166
"Hsp83",1.25041956865714e-168,-0.887977504712705,0.452,0.601,1.55539690145261e-164
"MFS17",3.11261265904821e-168,0.602826604533235,0.738,0.645,3.87177888659007e-164
"RpLP2",3.69611739185989e-164,-0.618735008174807,0.587,0.747,4.59760042373452e-160
"Npc2e",4.1493033644904e-164,5.88577531348125,0.086,0.002,5.16131845508961e-160
"Jon99Ciii",3.53144067737252e-162,-1.64732987979279,0.059,0.176,4.39275905858368e-158
"Vm34Ca",1.22962863155001e-161,-0.649541702874672,0.563,0.72,1.52953505478506e-157
"Cp18",4.30852991682104e-156,-1.12559852419859,0.162,0.317,5.3593803635337e-152
"CG17571",8.13151688155757e-156,-1.98525174330709,0.031,0.126,1.01147938489695e-151
"RpL37a",2.19512987643358e-155,-0.839531428921503,0.342,0.508,2.73052205329573e-151
"GstD1",1.85625459455616e-154,-1.04472144114815,0.302,0.461,2.30899509016841e-150
"lncRNA:CR34335",2.5605940461313e-154,-0.16390244534036,0.83,0.947,3.18512293398272e-150
"RpS29",2.57207413743844e-153,-0.850418678720578,0.317,0.484,3.19940301955968e-149
"mew",2.21947072493286e-151,2.15666493381608,0.325,0.184,2.76079963474398e-147
"Mal-A1",4.35940736028673e-149,3.3517917652422,0.096,0.01,5.42266681546066e-145
"Trim9",4.92708256107698e-149,2.70108137740007,0.174,0.058,6.12879799772365e-145
"lncRNA:CR40469",6.11058053864922e-149,-4.91500111726272,0.002,0.058,7.60095113202576e-145
"Hsp68",2.37269345560826e-148,-1.36389702137535,0.119,0.252,2.95139338943111e-144
"CG12057",1.1017638476771e-143,-2.58483503939769,0.015,0.089,1.37048405012554e-139
"eEF1alpha1",2.80770468236024e-143,-0.459849344929223,0.747,0.852,3.4925038543879e-139
"fabp",1.22475331332997e-141,-1.21046487366042,0.111,0.24,1.52347064645115e-137
"Hsp23",4.47587666409985e-141,-1.74279398847134,0.065,0.172,5.56754298247381e-137
"RpS16",5.2718232440664e-141,-0.69283173763835,0.433,0.591,6.5576209332942e-137
"RpL14",2.4496533478027e-139,-0.739263773283691,0.397,0.555,3.04712379933177e-135
"Hsp67Bc",2.56074646981083e-139,-2.41192381872451,0.02,0.097,3.18531253379769e-135
"Vm26Ab",3.8883369604217e-136,-0.832355951141616,0.315,0.473,4.83670234506855e-132
"RpS27",8.0124480625281e-136,-0.765003606124104,0.363,0.518,9.96668414497871e-132
"Shrm",3.86792425665457e-135,1.32302412797393,0.295,0.157,4.81131098285262e-131
"CG15617",9.97833206157041e-132,2.84533773458678,0.123,0.03,1.24120472513874e-127
"RpL27",4.59135577796381e-131,-0.731868927956107,0.363,0.519,5.71118745220918e-127
"Thor",1.69209682071248e-123,1.42790807289324,0.483,0.35,2.10479923528425e-119
"CG5966",2.59541350538935e-123,-2.86843125867041,0.029,0.105,3.22843485935381e-119
"RpL37A",9.90975240800329e-122,-0.879428154554877,0.226,0.368,1.23267410203153e-117
"RpL36A",1.00266278806551e-121,-0.742910229522481,0.323,0.473,1.24721224207468e-117
"RpL27A",1.52517050345451e-120,-0.56551876732894,0.552,0.685,1.89715958924707e-116
"Mthfs",7.79939852768435e-118,2.48175509269011,0.13,0.039,9.70167182858656e-114
"RpS8",1.66433615609769e-116,-0.581648819931543,0.537,0.671,2.07026774456992e-112
"CG45080",1.2166462842562e-114,-0.785205557523881,0.269,0.413,1.51338631298629e-110
"RpS10b",2.0848470104506e-114,-0.658387999782417,0.389,0.534,2.5933411962995e-110
"Lip4",1.11357311076967e-112,-2.67517281813059,0.033,0.108,1.3851735924864e-108
"RpL18A",4.59629032687339e-111,-0.616792936060366,0.416,0.559,5.71732553759781e-107
"CG13323",1.13961838187159e-109,1.5504274042098,0.147,0.051,1.41757130521007e-105
"Jon65Ai",2.10518482394277e-109,-4.22532838016049,0.002,0.045,2.61863940250241e-105
"mt:CoIII",2.40012193058775e-109,-0.580330301584531,0.543,0.685,2.9855116694581e-105
"RpS27A",2.79352802215466e-109,-0.556628821340337,0.538,0.657,3.47486950675818e-105
"RpS28b",3.14619871942651e-109,-0.771696594962693,0.265,0.402,3.91355658709463e-105
"rdgA",1.00817090653603e-106,0.823956270925719,0.726,0.676,1.25406379064017e-102
"RpS15",1.22703163980394e-106,-0.58207104362595,0.436,0.576,1.52630465675213e-102
"kst",1.27599215966036e-106,2.08607889038486,0.229,0.121,1.58720664740153e-102
"mt:ATPase6",8.37903721965773e-105,-0.630039785358985,0.416,0.563,1.04226843975323e-100
"dlp",1.04584130862867e-102,2.44042555507552,0.132,0.046,1.3009220038032e-98
"ATP8B",2.81287578269509e-101,1.19442935993498,0.288,0.169,3.49893618609442e-97
"fog",7.44378431274405e-100,1.81003458667103,0.271,0.164,9.25932330662233e-96
"RpL26",2.41082248643132e-98,-0.563982101680784,0.467,0.599,2.99882209087192e-94
"zip",9.82423654204062e-97,1.39610287514027,0.372,0.263,1.22203678346443e-92
"Strica",7.61147849013546e-96,4.64052052799201,0.055,0.003,9.4679180938795e-92
"Eip75B",3.35459589216614e-95,-0.491564286139955,0.597,0.7,4.17278183026546e-91
"RpS20",1.46815928964362e-94,-0.631122303132344,0.377,0.506,1.8262433403877e-90
"rols",2.16236737365827e-94,2.11652122268701,0.113,0.036,2.68976877609352e-90
"RpS26",1.54769542186869e-93,-0.663749323539183,0.314,0.443,1.92517833526246e-89
"CG11791",1.64968954342848e-93,-0.875123468901829,0.255,0.373,2.05204882307068e-89
"RpS18",2.38197948082149e-92,-0.558807913338861,0.465,0.591,2.96294427619385e-88
"Ttd14",4.16325087171366e-92,0.864341527042992,0.587,0.49,5.17866775932462e-88
"RpS5b",6.49466496260122e-92,-0.928061668391708,0.121,0.226,8.07871374697966e-88
"CG43187",1.05663272316174e-91,2.44694644512769,0.08,0.017,1.31434544434088e-87
"SCAP",1.41398874206949e-91,0.916807502699977,0.348,0.228,1.75886059626024e-87
"mt:CoII",1.77327128569694e-91,-0.539764465476843,0.44,0.58,2.20577215227842e-87
"RpL35A",2.91266713544038e-90,-0.621022525265078,0.384,0.509,3.62306664977429e-86
"RpS12",4.03454627590757e-90,-0.56165786714845,0.471,0.593,5.01857211260143e-86
"CG32425",4.46716440483707e-90,-0.843366322706994,0.247,0.359,5.55670580317683e-86
"RpS24",2.14973181859625e-89,-0.750368975448211,0.247,0.369,2.67405140915187e-85
"Rel",4.89577077333504e-89,-1.9102760125831,0.051,0.126,6.08984926495146e-85
"RpL12",2.32357498287914e-88,-0.586059125072994,0.413,0.539,2.89029492120336e-84
"RpL7",1.32412636048152e-87,-0.590158863977354,0.394,0.521,1.64708077980297e-83
"eEF5",1.39107322217405e-87,-0.705843506672919,0.259,0.383,1.7303559810623e-83
"alphaTry",2.48884793996725e-87,-0.612867272384627,0.303,0.432,3.09587795252526e-83
"dhd",3.7220919845843e-87,-0.69363603588088,0.271,0.398,4.62991021962441e-83
"RpS21",1.00419387912186e-86,-0.652589844925566,0.334,0.46,1.24911676623968e-82
"CG17633",3.04905170566603e-86,-1.30461212904382,0.049,0.123,3.79271541667798e-82
"Ugt49C1",2.95597615469476e-84,2.88473199177316,0.07,0.013,3.67693873882481e-80
"RpL10Ab",6.35842449484326e-84,-0.547497450692035,0.415,0.538,7.90924422913553e-80
"Ncc69",2.16036942349464e-82,2.23267614543157,0.08,0.019,2.68728352588498e-78
"RpL13A",2.57716072062872e-82,-0.489143147419361,0.497,0.615,3.20573022039007e-78
"Atet",8.03541723193936e-82,-0.80291710366725,0.182,0.291,9.99525549480938e-78
"Sox21a",2.457533087844e-81,2.30188090121679,0.062,0.01,3.05692540796915e-77
"Cyt-c-p",7.92281738755298e-81,-0.547106114548569,0.316,0.435,9.85519254837715e-77
"CG9005",3.23558935266658e-80,-0.518770844870493,0.548,0.656,4.02474959578196e-76
"RpS9",5.51611918310019e-80,-0.495157783283043,0.502,0.615,6.86150065185833e-76
"RpS3",1.86043436042641e-79,-0.60009788378813,0.359,0.478,2.31419430093441e-75
"p130CAS",1.27870815558675e-78,1.45358259733657,0.136,0.057,1.59058507473435e-74
"RpS11",1.36007940285805e-78,-0.537592665043284,0.454,0.567,1.69180276921513e-74
"lncRNA:CR43836",1.44628924449729e-78,0.933485860614629,0.375,0.276,1.79903919123018e-74
"RpL39",4.52507265825301e-78,-0.54345395447581,0.381,0.502,5.62873787960092e-74
"fkh",4.61282095466671e-78,1.8630345758795,0.084,0.023,5.73788798550993e-74
"sta",1.5219084020025e-77,-0.492354270729741,0.529,0.645,1.89310186125092e-73
"CROT",3.15597401798319e-77,-1.96174151785996,0.018,0.067,3.92571608096929e-73
"Dscam1",7.9532869273308e-77,1.16698890032227,0.19,0.1,9.89309360890678e-73
"RpS15Aa",3.03907331381858e-76,-0.623762055904536,0.294,0.409,3.78030329505894e-72
"RpL7A",6.70358570821892e-76,-0.515251500224497,0.432,0.548,8.33859026245352e-72
"CG4301",9.68930946557421e-76,2.41651324429664,0.062,0.011,1.20525320442278e-71
"CG3500",9.80794540990733e-76,2.93028479644197,0.088,0.027,1.22001032953837e-71
"Cyt-b5-r",1.79768600466918e-75,2.29082806733776,0.109,0.041,2.23614162120799e-71
"RpS7",7.65384112317801e-75,-0.493004606339727,0.472,0.587,9.52061297312113e-71
"Dys",8.00834538198359e-75,1.10110778270227,0.458,0.374,9.96158082064939e-71
"Tm1",9.06605445233593e-75,0.416509483970368,0.723,0.651,1.12772651332607e-70
"hdc",2.32027928662208e-73,1.12255870214194,0.411,0.314,2.88619540462921e-69
"RpL28",4.30272737982497e-73,-0.473673842340504,0.509,0.617,5.35216258776428e-69
"CG13794",7.2614864152579e-73,-2.21497835187918,0.017,0.064,9.03256295193931e-69
"Msp300",1.59120823027262e-72,0.400904752819894,0.862,0.83,1.97930391763611e-68
"mag",3.2638086962201e-72,-3.37918898901564,0.004,0.036,4.05985163722818e-68
"Lsd-1",3.82403791155671e-72,-2.04162489142571,0.079,0.151,4.7567207581854e-68
"RpL38",4.3290894160494e-72,-0.64646579769844,0.218,0.327,5.38495432462385e-68
"CG33494",6.38336428734874e-72,-2.07465997883837,0.032,0.087,7.94026683703309e-68
"CG13704",1.19763321151207e-71,2.03879750567004,0.084,0.025,1.48973595179986e-67
"CG4363",1.91660865666353e-71,2.25597890476892,0.065,0.014,2.38406950802376e-67
"RpL23",2.28845195216508e-71,-0.46139006585598,0.529,0.637,2.84660538329815e-67
"awd",3.24752318755437e-71,-0.597150351796174,0.331,0.442,4.03959409299889e-67
"Mcad",6.13555319427952e-71,-1.17195260615407,0.076,0.151,7.63201461836429e-67
"zfh2",7.75349077346627e-71,1.26445563247504,0.154,0.075,9.64456717311469e-67
"asRNA:CR44168",8.07722655393645e-71,3.7901229318509,0.048,0.006,1.00472621104416e-66
"RpLP0",1.08112220604873e-70,-0.510079913466504,0.395,0.511,1.34480791210401e-66
"RpL23A",1.99331184919492e-70,-0.529396038606536,0.387,0.5,2.47948060921356e-66
"CG14662",2.53635814023156e-70,2.44354651723638,0.063,0.013,3.15497589063403e-66
"PRL-1",3.25126547428508e-70,-0.890594490673962,0.169,0.265,4.04424912346321e-66
"CG17167",4.03341691023959e-70,-2.36424648323108,0.005,0.039,5.01716729464702e-66
"Rdh",2.29178306724872e-69,-0.79042383131083,0.125,0.216,2.85074895735069e-65
"DptA",3.73240393628623e-69,-7.52116275459402,0,0.025,4.64273725634644e-65
"LysE",3.77252106839576e-69,-2.81222366102373,0.006,0.041,4.69263895697749e-65
"lncRNA:CR46123",6.63069345369307e-69,-9.78709971216188,0,0.024,8.24791958704881e-65
"RpL31",1.24859629614292e-68,-0.533818568551194,0.378,0.49,1.55312893277217e-64
"Fer1HCH",1.27974020187437e-68,-0.823781990385487,0.335,0.435,1.59186883711153e-64
"IM4",2.03069994585418e-68,0.718566667451508,0.164,0.085,2.52598766264801e-64
"CG5958",8.92561624820671e-68,-1.63578985402146,0.068,0.135,1.11025740511443e-63
"alpha-Est8",1.06887093396549e-67,-2.24819092980036,0.033,0.087,1.32956855475968e-63
"lncRNA:CR45054",1.15360565186304e-66,-0.281651949368433,0.772,0.839,1.43497007035244e-62
"Lsd-2",2.96036369156605e-66,-1.36672705955774,0.275,0.37,3.68239639593901e-62
"AP-1gamma",1.3035273216644e-65,0.877406462486744,0.344,0.25,1.62145763541835e-61
"CG45060",2.81046165679521e-65,3.46412324392892,0.043,0.005,3.49593325488756e-61
"CG10516",3.61796743017138e-65,-1.94097146862075,0.031,0.084,4.50038968639018e-61
"cdc14",1.05038136644382e-64,-0.65536370162585,0.158,0.252,1.30656938171947e-60
"RpL18",2.46025202998505e-64,-0.516391575534222,0.386,0.492,3.0603075000984e-60
"RpL34b",8.77991916869401e-64,-0.557911772073043,0.348,0.453,1.09213414539385e-59
"aop",2.88306297270128e-63,-0.611669799662351,0.283,0.381,3.58624203174313e-59
"RpL30",3.57279744813264e-63,-0.906167059301183,0.123,0.207,4.44420274573219e-59
"RpS4",5.19252636569627e-63,-0.441393259596348,0.51,0.612,6.45898354628959e-59
"CG32982",6.49546347489725e-63,0.758518234492302,0.355,0.257,8.07970701642469e-59
"whd",1.55327741509645e-62,-0.612021321503045,0.211,0.31,1.93212177663847e-58
"Mnt",2.00270850839964e-62,-0.408255068826944,0.499,0.598,2.49116911359832e-58
"CG12769",2.37750530277082e-62,-0.985960960919843,0.083,0.155,2.95737884611662e-58
"CG10011",2.8971938188266e-62,1.55582632556365,0.222,0.14,3.6038193912384e-58
"CG18635",3.98323694360931e-62,4.13117299950421,0.035,0.002,4.95474843415562e-58
"RpL19",6.27226069213239e-62,-0.41865787106937,0.506,0.61,7.80206507494348e-58
"CG7720",9.06770601744208e-62,0.598328565036066,0.632,0.586,1.12793195150962e-57
"whe",1.12134285108566e-61,-0.59141971818287,0.237,0.339,1.39483837246545e-57
"CG42346",1.20567826099221e-61,1.00764766252167,0.185,0.105,1.49974318884821e-57
"upd3",1.26528779504975e-61,3.21304903575482,0.041,0.004,1.57389148826238e-57
"Tsp42Ea",3.28107410918538e-61,1.62990639649347,0.108,0.046,4.08132808441569e-57
"Glut4EF",3.30504611841496e-61,-0.228123877193346,0.914,0.949,4.11114686669637e-57
"htl",3.93228400294954e-61,-1.34275228808717,0.034,0.086,4.89136807126893e-57
"Dro",5.50480368784462e-61,-5.31861802468582,0.002,0.028,6.84742530730992e-57
"RpS25",6.14427789898471e-61,-0.425175972776327,0.488,0.593,7.64286727854708e-57
"CG6767",1.08286278811856e-60,0.635465407714405,0.617,0.531,1.34697302214068e-56
"RpS14a",1.83206556151363e-60,-0.68424858835925,0.233,0.331,2.2789063519668e-56
"CG14186",2.174394614644e-60,-1.85272094792609,0.02,0.064,2.70472946115567e-56
"Tctp",4.19000170971416e-60,-0.643347566642587,0.236,0.333,5.21194312671345e-56
"RpL8",7.39498651771316e-60,-0.424320542822066,0.494,0.596,9.1986237293834e-56
"wake",8.5921109948112e-60,1.47469967392575,0.147,0.077,1.06877268664457e-55
"RpL36",1.11945705318509e-59,-0.425835741028539,0.454,0.559,1.39249262845694e-55
"GIIIspla2",1.30776430041347e-59,-1.38180330617018,0.024,0.07,1.62672801328431e-55
"RpS17",2.48669209638887e-59,-0.486222073441679,0.373,0.477,3.09319629869812e-55
"Xrp1",2.93920985278677e-59,0.52344338805229,0.638,0.579,3.65608313588147e-55
"RpS23",2.98665478476166e-59,-0.453148996937856,0.471,0.573,3.71509988676503e-55
"RpL24",3.29125328696889e-59,-0.430790684918435,0.481,0.584,4.0939899636606e-55
"SLC5A11",4.00902721636422e-59,-1.49121949070899,0.039,0.093,4.98682895443546e-55
"Sox100B",5.14953115618305e-59,1.50593205153918,0.058,0.014,6.40550180517609e-55
"Lpin",6.47847230458698e-59,-0.449347202232278,0.321,0.423,8.05857169967575e-55
"Pvf2",7.42091009234591e-59,2.22192165652088,0.067,0.02,9.23087006386908e-55
"CG32264",1.55420957169728e-58,0.489558335238591,0.663,0.58,1.93328128623425e-54
"Sema1b",2.08490087255878e-58,1.26882976062794,0.243,0.162,2.59340819537587e-54
"Cyp1",2.10830505108618e-58,-0.61296892128256,0.31,0.407,2.6225206530461e-54
"RpL17",3.82534316587524e-58,-0.401979901800934,0.507,0.607,4.75834436403221e-54
"CG15186",4.33819376115625e-58,1.43784885401552,0.083,0.029,5.39627921950225e-54
"Jon44E",6.0889424704637e-58,-4.1919856880356,0.002,0.025,7.5740355390098e-54
"GstE3",7.89371001327969e-58,-1.4127529298677,0.027,0.074,9.8189858855186e-54
"CG16791",2.2258515033052e-57,0.814224214276732,0.434,0.349,2.76873668496133e-53
"shot",5.14750159859749e-57,0.45083742806839,0.756,0.729,6.40297723849542e-53
"RpL32",7.22268838606457e-57,-0.40970677971852,0.466,0.565,8.98430208342572e-53
"Ca-Ma2d",1.17454304240058e-56,-0.930328914014807,0.076,0.142,1.46101409044208e-52
"Clk",1.31670446909541e-56,1.28413370198879,0.12,0.056,1.63784868910779e-52
"CG14292",1.52554745515091e-56,1.20586402923062,0.115,0.053,1.89762847946222e-52
"mt:Cyt-b",2.07449861734258e-56,-0.564586854241635,0.332,0.437,2.58046883011244e-52
"CG34330",2.72447150467201e-56,1.19985017426108,0.091,0.035,3.38897010466152e-52
"CG12116",3.1522239110548e-56,-1.4345126251543,0.077,0.14,3.92105132296106e-52
"CG14645",4.58820822472116e-56,0.663750213770742,0.389,0.291,5.70727221073065e-52
"CG43759",5.40281462696935e-56,0.974677565965013,0.212,0.133,6.72056111448717e-52
"Vm32E",6.64232694578276e-56,-0.881231176441764,0.104,0.177,8.26239048785917e-52
"Piezo",8.55721189749823e-56,-0.894584100999895,0.155,0.236,1.0644315879298e-51
"RhoGAP18B",9.86315421944359e-56,1.08831695734853,0.212,0.134,1.22687775335659e-51
"RpL13",2.1045755087961e-55,-0.449041030183443,0.427,0.53,2.61788147539147e-51
"CG4377",2.76266199560058e-55,2.71014000502445,0.043,0.007,3.43647525632756e-51
"Gmap",3.22056721083262e-55,1.36339460403034,0.208,0.133,4.00606355355469e-51
"Rgk1",3.52802839644954e-55,-1.71911399510103,0.06,0.119,4.38851452234358e-51
"slow",3.5842551092434e-55,-1.93082623613429,0.009,0.04,4.45845493038787e-51
"CG43055",2.33180067011554e-54,4.84540264817442,0.03,0.001,2.90052685355671e-50
"w",3.13116665294067e-54,-1.30356383854925,0.156,0.234,3.8948581995929e-50
"tobi",3.78324102448436e-54,3.11401674591247,0.038,0.005,4.70597351035609e-50
"Tektin-C",4.13918507327758e-54,-4.17775809858879,0.002,0.025,5.14873231264998e-50
"DIP-alpha",6.47632313614811e-54,2.97216266024566,0.15,0.083,8.05589834905464e-50
"cpo",8.98597158860182e-54,0.889612474361722,0.289,0.206,1.11776500590618e-49
"CG6356",1.58407680148408e-53,-1.94807113142428,0.009,0.04,1.97043313336605e-49
"Mtk",3.50038418137181e-53,-4.41202099795048,0.003,0.027,4.3541278832084e-49
"RpL40",5.35926759266957e-53,-0.565814836454188,0.269,0.364,6.66639295852167e-49
"Usp2",5.39666238751784e-53,0.53572957390874,0.623,0.543,6.71290834383344e-49
"CG9380",2.16025786249571e-52,1.94234611230029,0.081,0.031,2.68714475515842e-48
"asRNA:CR44179",3.38766081631125e-52,-1.5675661822592,0.009,0.039,4.21391128940957e-48
"Cirl",3.65186511644278e-52,0.721123934628655,0.338,0.259,4.54255501834317e-48
"fok",5.13820095622676e-52,1.01299451329066,0.221,0.144,6.39140816945047e-48
"ITP",6.31307791797324e-52,1.18247364242925,0.108,0.049,7.85283762216692e-48
"hdly",7.23195725559094e-52,1.65265273501074,0.143,0.078,8.99583163022957e-48
"RpS13",1.29362475742802e-51,-0.455083963816423,0.386,0.483,1.60913983576471e-47
"RpL6",1.5718238597359e-51,-0.41075179965203,0.487,0.582,1.95519169912548e-47
"Tsp42Ed",1.71690251478319e-51,1.67371883307872,0.085,0.034,2.13565503813881e-47
"CG9650",2.2603190134046e-51,1.25144381926752,0.082,0.032,2.81161082077398e-47
"CG41378",2.57231816005056e-51,0.443184950063706,0.594,0.543,3.1997065592869e-47
"CG42747",2.65401887300759e-51,2.10517898184313,0.102,0.047,3.30133407613414e-47
"subdued",5.33939520733449e-51,-0.722533331787522,0.09,0.158,6.64167369840337e-47
"ScsbetaA",7.47378567239651e-51,-0.753195699656667,0.157,0.234,9.29664199789401e-47
"CG6891",1.18652520050796e-50,1.57635850993977,0.084,0.034,1.47591869691186e-46
"mino",1.62875567328353e-50,-1.15560334369242,0.086,0.149,2.02600918199738e-46
"CG18180",2.65371322261586e-50,-1.40466515090092,0.023,0.064,3.30095387761187e-46
"CG40191",6.54333818380107e-50,0.722742717150072,0.303,0.22,8.13925836683015e-46
"RpL35",1.19588504655262e-49,-0.499047050618577,0.354,0.447,1.4875614094068e-45
"myo",2.50220224181458e-49,-0.505703822999533,0.336,0.428,3.11248936859315e-45
"Map205",2.72106276626638e-49,0.687486990494529,0.265,0.182,3.38472997495876e-45
"Jon99Ci",3.68583857937954e-49,-1.56583391069606,0.018,0.055,4.58481460889021e-45
"LanB2",9.84833447586e-49,-1.25895762146122,0.032,0.077,1.22503432545223e-44
"CG33170",1.16906882946499e-48,-0.655849140946604,0.155,0.234,1.4542047169715e-44
"DAAM",1.60141298298341e-48,1.61007017647935,0.107,0.052,1.99199760953307e-44
"baz",1.73001277946273e-48,0.789646563931908,0.192,0.12,2.15196289637369e-44
"Wnt6",1.91885136107345e-48,-1.1729841729294,0.055,0.109,2.38685920803927e-44
"mthl14",2.24222374972046e-48,2.33024459747048,0.04,0.007,2.78910212227728e-44
"IM14",2.74623263773186e-48,0.597212678767132,0.104,0.049,3.41603877807466e-44
"LRR",3.84541992749743e-48,1.2182618313796,0.204,0.134,4.78331784781406e-44
"Dad",1.16848391487087e-47,-0.703223349148466,0.194,0.274,1.45347714170788e-43
"CG3999",1.19150520603063e-47,-2.17461907972905,0.004,0.028,1.48211332578151e-43
"CG4734",1.76481319622022e-47,2.81415249873811,0.033,0.004,2.19525113477833e-43
"Dbp80",2.04690008799888e-47,0.293810204289703,0.73,0.713,2.5461390194618e-43
"Lk6",3.18847790952461e-47,-0.359307107870777,0.717,0.782,3.96614767165767e-43
"CG4461",4.39701721097104e-47,-0.744322601970247,0.085,0.148,5.46944970872688e-43
"RpS3A",8.41694389630798e-47,-0.377773897373604,0.476,0.569,1.04698365126175e-42
"Nacalpha",9.02956939982286e-47,-0.58627020170797,0.234,0.317,1.12318813764397e-42
"scb",1.46397336780346e-46,1.22535493324362,0.077,0.03,1.82103647221072e-42
"gt",2.08047577852158e-46,1.92942255121176,0.047,0.012,2.58790382090299e-42
"shn",2.70518582353171e-46,-0.528660651824296,0.363,0.444,3.3649806458911e-42
"lncRNA:CR42839",5.01647444889471e-46,2.05318260024581,0.039,0.008,6.23999256698013e-42
"CG3961",5.06420214232674e-46,-0.558711230554328,0.219,0.303,6.29936104484023e-42
"AttC",7.40038214647251e-46,-6.08001702467186,0.001,0.018,9.20533535199715e-42
"yellow-g",9.129414909348e-46,-1.6307342112227,0.017,0.051,1.1356079205738e-41
"l(1)G0469",1.06586231301224e-45,1.49837509827737,0.165,0.099,1.32582613115593e-41
"Kua",1.18516973995006e-45,1.7153526519477,0.077,0.032,1.47423263952388e-41
"Drip",1.23897978191915e-45,-1.39503629071457,0.008,0.035,1.54116695072924e-41
"Mf",1.57192698820465e-45,-0.234886113311574,0.665,0.737,1.95531998062776e-41
"CG15096",1.82884135881049e-45,1.89462001404669,0.073,0.029,2.27489576622437e-41
"CG2852",2.75089747198817e-45,-0.638931601206798,0.198,0.278,3.42184136540608e-41
"Tsp2A",2.75109217200013e-45,1.70649947026841,0.055,0.017,3.42208355275097e-41
"RpS19a",2.79601832282677e-45,-0.41976659069762,0.358,0.451,3.47796719176422e-41
"Mtpbeta",2.89681497828229e-45,-0.772459400077296,0.061,0.116,3.60334815148533e-41
"CG7130",3.52911077970455e-45,-1.82351873943735,0.012,0.042,4.38986089887449e-41
"CG14457",4.13898116341644e-45,3.69541526747897,0.028,0.003,5.1484786691737e-41
"CG17002",5.41210958434398e-45,1.92570402842218,0.053,0.016,6.73212311196548e-41
"cype",5.99069710026318e-45,-0.499282918646409,0.263,0.35,7.45182812301737e-41
"DptB",6.38744750322196e-45,-6.35095084200813,0.001,0.018,7.94534594925779e-41
